1;1.59.501;1.65.501;;
2-1;1.59.503;1.65.501;;
2-2;1.59.501;1.59.503;1.65.501;
3-1;1.59.501;1.65.501;1.51.501;
3-2;1.59.501;1.65.501;1.51.501;
4-1;1.59.501;1.59.503;1.65.501;1.51.501
4-2;1.59.503;1.65.501;1.51.501;
4-3;1.59.501;1.59.503;1.65.501;1.51.501
4-4;1.59.503;1.65.501;1.65.501;
5;1.59.501;1.65.502;1.51.501;
6-1;1.59.501;1.59.503;1.65.502;1.51.501
6-2;1.59.503;1.65.502;1.51.501;
7-1;1.51.518;1.65.503;1.51.501;
7-2;1.51.518;1.65.503;1.51.501;
8-1;1.59.501;1.65.501;1.51.502;
8-2;1.59.501;1.65.501;1.51.502;
9-1;1.59.501;1.59.503;1.65.501;1.51.502
9-2;1.59.503;1.65.501;1.51.502;
9-3;1.59.503;1.65.501;1.51.502;
9-4;1.59.501;1.59.503;1.65.501;1.51.502
10;1.59.501;1.65.502;1.51.502;
11-1;1.59.501;1.59.503;1.65.502;1.51.502
11-2;1.59.503;1.65.502;1.51.502;
12-1;1.51.518;1.65.503;1.51.502;
12-2;1.51.518;1.65.503;1.51.502;
13-1;1.59.501;1.65.501;1.51.503;
13-2;1.59.501;1.65.501;1.51.503;
14-1;1.59.503;1.59.501;1.65.501;1.51.503
14-2;1.59.503;1.65.501;1.51.503;
14-3;1.59.503;1.65.501;1.51.503;
14-4;1.59.503;1.59.501;1.65.501;1.51.503
15-1;1.51.518;1.65.503;1.51.503;
16-1;1.59.501;1.65.501;1.51.504;
16-2;1.59.501;1.65.501;1.51.504;
17-1;1.59.501;1.59.503;1.65.502;1.51.504
17-2;1.59.503;1.65.502;1.51.504;
17-3;1.59.503;1.65.502;1.51.504;
17-4;1.59.501;1.59.503;1.65.501;1.51.504
18;1.59.501;1.65.501;1.51.504;
19-1;1.59.501;1.59.503;1.65.501;1.51.504
19-2;1.59.503;1.65.502;1.51.504;
20;1.51.518;1.65.503;1.51.504;